Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
551,V364 Lac,p,22 52 14.81,+38 44 44.64,A8Vm,2.3340,0.0150,3.3080,0.0380,3.767,0.010,8250,150,*,V364 Lac
552,V364 Lac,s,22 52 14.81,+38 44 44.64,A1Vm,2.2960,0.0250,2.9860,0.0350,3.849,0.011,8500,150,*,V364 Lac
553,V453 Cep,p,22 52 45.80,+60 54 58.61,B9V,2.5750,0.0500,2.1120,0.2010,4.200,0.083,10300,500,***,V453 Cep
554,V453 Cep,s,22 52 45.80,+60 54 58.61,B9V,2.4780,0.0500,2.0110,0.2010,4.226,0.087,10400,500,***,V453 Cep
555,NY Cep,p,22 58 39.80,+63 04 37.73,B0.5V,13.1520,1.0120,6.8430,0.7040,3.887,0.095,28500,1000,***,NY Cep
556,NY Cep,s,22 58 39.80,+63 04 37.73,B2V,9.3230,1.0360,5.4340,0.5030,3.938,0.094,23100,1000,***,NY Cep
557,EF Aqr,p,23 01 19.09,-06 26 15.35,G0V,1.2440,0.0080,1.3380,0.0120,4.280,0.008,6150,65,*,EF Aqr
558,EF Aqr,s,23 01 19.09,-06 26 15.35,GV,0.9460,0.0060,0.9560,0.0120,4.453,0.011,5185,110,*,EF Aqr
559,CW Cep,p,23 04 02.22,+63 23 48.76,B0.5V,11.7970,0.1400,5.5240,0.1210,4.026,0.020,28300,1000,*,CW Cep
560,CW Cep,s,23 04 02.22,+63 23 48.76,B0.5V,11.0670,0.1400,5.0300,0.1210,4.079,0.022,27700,1000,*,CW Cep
561,PV Cas,p,23 10 02.58,+59 12 06.15,B9.5V,2.7570,0.0600,2.2570,0.0160,4.172,0.011,10188,250,*,PV Cas
562,PV Cas,s,23 10 02.58,+59 12 06.15,B9.5V,2.8160,0.0500,2.2980,0.0210,4.165,0.011,10205,250,*,PV Cas
563,RT And,p,23 11 10.10,+53 01 33.04,F8V,1.2400,0.0300,1.2680,0.0150,4.326,0.015,6095,214,*,RT And
564,RT And,s,23 11 10.10,+53 01 33.04,K3V,0.9070,0.0200,0.9060,0.0130,4.482,0.016,4732,110,*,RT And
565,V396 Cas,p,23 13 35.98,+56 44 17.20,A1V,2.3970,0.0220,2.5920,0.0130,3.991,0.006,9225,150,*,V396 Cas
566,V396 Cas,s,23 13 35.98,+56 44 17.20,A3V,1.9010,0.0160,1.7790,0.0100,4.217,0.006,8550,120,*,V396 Cas
567,MG1-2056316,p,23 14 38.16,+03 39 49.33,M2V,0.4690,0.0020,0.4410,0.0020,4.821,0.004,3460,180,*,MOTESS-GNAT 2056316
568,MG1-2056316,s,23 14 38.16,+03 39 49.33,M3V,0.3830,0.0010,0.3740,0.0020,4.876,0.005,3320,180,*,MOTESS-GNAT 2056316
569,NSVS 11868841,p,23 17 57.56,+19 17 02.86,G9,0.8860,0.0350,1.0100,0.0300,4.377,0.031,5250,,**,NSVS 11868841
570,NSVS 11868841,s,23 17 57.56,+19 17 02.86,G9,0.6160,0.0240,0.9600,0.0200,4.263,0.025,5055,4,2,NSVS 11868841
571,AR Cas,p,23 30 01.94,+58 32 56.11,B4V,5.9020,0.2000,5.0640,0.0600,3.800,0.018,17200,500,**,AR Cas
572,AR Cas,s,23 30 01.94,+58 32 56.11,A6V,1.8690,0.0600,1.6040,0.0300,4.300,0.021,8150,200,**,AR Cas
573,BQ Aqr,p,23 36 08.93,-16 28 08.27,,1.4900,0.0400,2.0720,0.1400,3.979,0.060,6390,230,***,BQ Aqr
574,BQ Aqr,s,23 36 08.93,-16 28 08.27,K0III,1.5880,0.2100,6.5300,0.2800,3.009,0.068,4490,230,2,BQ Aqr
575,V731 Cep,p,23 37 43.55,+64 18 11.20,B8.5V,2.5770,0.0980,1.8230,0.0300,4.328,0.022,10700,200,**,V731 Cep
576,V731 Cep,s,23 37 43.55,+64 18 11.20,A1.5V,2.0170,0.0840,1.7170,0.0250,4.274,0.022,9265,220,**,V731 Cep
577,IT Cas,p,23 42 01.40,+51 44 36.80,F6V,1.3300,0.0090,1.6030,0.0150,4.152,0.009,6470,110,*,IT Cas
578,IT Cas,s,23 42 01.40,+51 44 36.80,F6V,1.3280,0.0080,1.5690,0.0400,4.170,0.022,6470,110,*,IT Cas
579,BK Peg,p,23 47 08.46,+26 33 59.92,F8,1.4140,0.0070,1.9850,0.0080,3.993,0.004,6265,85,*,BK Peg
580,BK Peg,s,23 47 08.46,+26 33 59.92,F8,1.2570,0.0050,1.4720,0.0170,4.202,0.010,6320,30,*,BK Peg
581,AP And,p,23 49 30.71,+45 47 21.25,F6,1.2770,0.0044,1.2335,0.0062,4.362,0.005,6565,150,*,AP And
582,AP And,s,23 49 30.71,+45 47 21.25,F8,1.2510,0.0042,1.1954,0.0053,4.381,0.004,6495,150,*,AP And
583,AL Scl,p,23 55 16.58,-31 55 17.28,B6V,3.6170,0.1100,3.2410,0.0500,3.975,0.019,13550,350,**,AL Scl
584,AL Scl,s,23 55 16.58,-31 55 17.28,B9V,1.7030,0.0400,1.4010,0.0200,4.377,0.016,10300,360,*,AL Scl
585,V821 Cas,p,23 58 49.17,+53 40 19.82,A1.5V,2.0250,0.0660,2.3080,0.0280,4.018,0.018,9400,400,**,V821 Cas
586,V821 Cas,s,23 58 49.17,+53 40 19.82,A4Vm,1.6200,0.0580,1.3900,0.0220,4.362,0.021,8600,400,**,V821 Cas
